legacy_id	article	receipt_name	group
615	К155	"Вишукане кольє з серцем"	"2 группа"
617	Ц55	"Стильна краватка з серцем"	"2 группа"
623	К83.9	"Кольє у зеленому кольорі з кулоном"	"2 группа"
624	С41.2	"Сережки серця"	"2 группа"
627	С131С	"Сережки з серцями"	"2 группа"
628	С223	"Сережки з синіми квітами"	"2 группа"
629	С155	"Сережки з рожевими серцями"	"2 группа"
630	R55	"Акцентна каблучка"	"2 группа"
632	К86.1	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
633	Б124.1	"Витончений браслет"	"2 группа"
634		"Витончений браслет"	"3 группа"
635	Б39.1	"Вишуканий браслет"	"2 группа"
636	Б39	"Вишуканий браслет"	"2 группа"
637	С55.4	"Сережки з серцями"	"2 группа"
638	С107.4С	"Сережки з серцями"	"2 группа"
639	С117	"Вишукані сережки з серцями"	"2 группа"
640	R55С	"Акцентна каблучка"	"2 группа"
641	С117C	"Вишукані сережки з серцями"	"2 группа"
643	Б55.4	"Вишуканий яскравий браслет"	"3 группа"
644	Б38.1C	"Вишуканий яскравий браслет"	"3 группа"
645	С222.С	"Романтичні сережки серця"	"2 группа"
646	Ц9С	Ланцюжок-краватка	"2 группа"
648	Б78	"Браслет з прозорих камінців"	"2 группа"
650	С99.4	"Сережки у блакитному кольорі"	"2 группа"
651	Б56	"Вишуканий яскравий браслет"	"3 группа"
652	С11.С	"Ніжні сережки"	"3 группа"
653	С19.С	"Витончені сережки"	"3 группа"
654	Б43С	"Блискучий браслет"	"3 группа"
655	С16.3С	Сережки-трансформери	"3 группа"
656	Ч124С	"Сяючий чокер з серцем"	"2 группа"
657	Б124С	"Витончений браслет"	"2 группа"
658	С124.2С	"Сережки гвіздочки"	"2 группа"
660	"К83.10, С7"	"Комплект з колосками"	"2 группа"
661	"К86, С98"	"Комплект з серцями"	"2 группа"
662	"К100.1, С107.3"	"Комплект з серцями"	"2 группа"
663	"Ц55, С117, R55"	"Комплект з серцями"	"2 группа"
664	"К83.3, С66"	"Комплект: кольє у зеленому кольорі та сережки"	"2 группа"
665	"Ч110, Б110"	"Комплект: вишуканий чокер з серцем та браслет"	"3 группа"
666	"Ч48.1, Ч55.пташка, С 5.22"	"Комплект: базовий чокер, чокер з бісеру з кулоном та сережки"	"3 группа"
667	С95.4	Сережки-трансформери	"2 группа"
668	К162С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
669	К159	"Комбіноване кольє з ланцюжками та кулоном у чорному кольорі"	"2 группа"
67	Б5	"Браслет з застібкою тогл"	"3 группа"
670	К100	"Кольє з серцем"	"2 группа"
671	С9.1С	"Сережки гвіздочки"	"2 группа"
672	Ч142	"Чокер з  кулоном серце"	"3 группа"
673	К114.2	"Кольє з цікавим з'ємним ланцюжком"	"2 группа"
674	Ч138	"Сяючий чокер з пташкою"	"2 группа"
675	Б86.4	"Браслет  у рожевому кольорі"	"2 группа"
676	Ч150	"Вишуканий ніжний чокер"	"3 группа"
677	К55.1,С95	"Комплект: кольє та сережки"	"3 группа"
678	"Ч101.1С, С38С, Б43С"	"Комплект: чокер, сережки та браслет"	"3 группа"
679	С107	"Сережки з серцями"	"2 группа"
68	Б30.С	"Браслет з акцентною застібкою"	"2 группа"
680	"К86, Б86.3, С107.3"	"Комплект: кольє, браслет та сережки"	"2 группа"
681	С23.0С	"Сережки гвіздочки з кульками довгі"	"2 группа"
682	К55.8С	"Кольє з блискучих камінців з кулоном"	"2 группа"
683	С95.3.С	Сережки-трансформери	"2 группа"
684	Ц27	"Подвійне кольє з червоним камінням"	"3 группа"
685	К155.1	"Вишукане кольє з зіркою"	"2 группа"
686	С132	Сережки	"2 группа"
687	Ч171	"Чокер у білому кольорі з лунницею"	"2 группа"
688	С171	"Подовжені  сережки у білому кольорі"	"2 группа"
689	"Ч135.1, Ч81.2"	"Комплект з двох чокерів: у синьому кольорі та японського бісеру з  кулоном"	"3 группа"
69	С222.СЗ	"Сережки біколор з серцями"	"2 группа"
690	К120.1	"Комбіноване кольє з ланцюжками"	"2 группа"
691	С120.2	"Сережки з космічним сонцем"	"2 группа"
694	"Ц162.3, С162.3"	"Комплект: ланцюжок-краватка та сережки"	"3 группа"
695	"Ц162.1, С162.1"	"Комплект: ланцюжок-краватка та сережки"	"3 группа"
696	"Ц162.4, С162.4"	"Комплект: ланцюжок-краватка та сережки"	"3 группа"
698	"Ц162, С162"	"Комплект: ланцюжок-краватка та сережки"	"3 группа"
699	"Ц162.2, С162.2"	"Комплект: ланцюжок-краватка та сережки"	"3 группа"
70	С222	"Сережки серця біколор"	"2 группа"
700	К121.1	"Кольє зі з'ємним тонким ланцюжком позаду"	"3 группа"
701	С149	"Сережки гвіздочки з ланцюжками"	"3 группа"
702	К132	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
703	Ц33	"Вишуканий ланцюжок"	"2 группа"
704	Ц38	"Тендітний вкорочений ланцюжок"	"3 группа"
705	Ч159	"Вишуканий чокер з пташкою"	"2 группа"
706	К143	"Кольє з серцем"	"3 группа"
707	Ч118.2	"Вишуканий ніжний чокер"	"3 группа"
